TimeStamp,Source,Parameter,Units,Value
2021-10-28 00:00:00,LAKE-1,SO2TONS,TONS,0.004365777
2021-11-01 00:00:00,LAKE-1,SO2TONS,TONS,0.001673988
2021-11-02 00:00:00,LAKE-1,SO2TONS,TONS,0.00058986
2021-11-03 00:00:00,LAKE-1,SO2TONS,TONS,0.001559353
2021-11-04 00:00:00,LAKE-1,SO2TONS,TONS,0.002478297
2021-11-05 00:00:00,LAKE-1,SO2TONS,TONS,0.001594296
2021-11-08 00:00:00,LAKE-1,SO2TONS,TONS,0.00134959
2021-11-10 00:00:00,LAKE-1,SO2TONS,TONS,0.000806064
2021-11-13 00:00:00,LAKE-1,SO2TONS,TONS,0.001201694
2021-11-14 00:00:00,LAKE-1,SO2TONS,TONS,0.001081318
2021-11-15 00:00:00,LAKE-1,SO2TONS,TONS,0.001148171
2021-11-16 00:00:00,LAKE-1,SO2TONS,TONS,0.001514981
2021-11-17 00:00:00,LAKE-1,SO2TONS,TONS,0.001935389
2021-11-18 00:00:00,LAKE-1,SO2TONS,TONS,0.001114441
2021-11-19 00:00:00,LAKE-1,SO2TONS,TONS,0.000436151
2021-11-20 00:00:00,LAKE-1,SO2TONS,TONS,0.000183266
2021-12-02 00:00:00,LAKE-1,SO2TONS,TONS,2.27853E-05
2021-12-04 00:00:00,LAKE-1,SO2TONS,TONS,0.001224509
2021-12-05 00:00:00,LAKE-1,SO2TONS,TONS,0.001855884
2021-12-06 00:00:00,LAKE-1,SO2TONS,TONS,0.004026906
2021-12-07 00:00:00,LAKE-1,SO2TONS,TONS,0.004052707
2021-12-08 00:00:00,LAKE-1,SO2TONS,TONS,0.003215723
2021-12-15 00:00:00,LAKE-1,SO2TONS,TONS,0.000660673
2021-12-16 00:00:00,LAKE-1,SO2TONS,TONS,0.002197805
2021-12-17 00:00:00,LAKE-1,SO2TONS,TONS,0.000182183
2021-12-18 00:00:00,LAKE-1,SO2TONS,TONS,0.001421538
2021-12-19 00:00:00,LAKE-1,SO2TONS,TONS,0.001344837
2021-12-20 00:00:00,LAKE-1,SO2TONS,TONS,9.30126E-05
2021-12-22 00:00:00,LAKE-1,SO2TONS,TONS,0.001403743
2021-12-23 00:00:00,LAKE-1,SO2TONS,TONS,0.00479148
2021-12-24 00:00:00,LAKE-1,SO2TONS,TONS,0.000877504
2021-12-29 00:00:00,LAKE-1,SO2TONS,TONS,0.00122666
2022-01-01 00:00:00,LAKE-1,SO2TONS,TONS,0.000469548
2022-01-02 00:00:00,LAKE-1,SO2TONS,TONS,0.002493238
2022-01-03 00:00:00,LAKE-1,SO2TONS,TONS,0.001957418
2022-01-04 00:00:00,LAKE-1,SO2TONS,TONS,0.000253068
2022-01-05 00:00:00,LAKE-1,SO2TONS,TONS,0.000987506
2022-01-15 00:00:00,LAKE-1,SO2TONS,TONS,0.000001017
2022-01-17 00:00:00,LAKE-1,SO2TONS,TONS,0.001119104
2022-01-18 00:00:00,LAKE-1,SO2TONS,TONS,0.001146602
2022-01-19 00:00:00,LAKE-1,SO2TONS,TONS,0.003293445
2022-01-20 00:00:00,LAKE-1,SO2TONS,TONS,0.001210807
2022-01-24 00:00:00,LAKE-1,SO2TONS,TONS,0.001454625
2022-01-25 00:00:00,LAKE-1,SO2TONS,TONS,0.002798881
2022-01-26 00:00:00,LAKE-1,SO2TONS,TONS,0.001180403
2022-01-27 00:00:00,LAKE-1,SO2TONS,TONS,0.001214807
2022-01-29 00:00:00,LAKE-1,SO2TONS,TONS,0.001064438
2022-01-30 00:00:00,LAKE-1,SO2TONS,TONS,0.001407523
2022-01-31 00:00:00,LAKE-1,SO2TONS,TONS,0.00512703
2022-02-01 00:00:00,LAKE-1,SO2TONS,TONS,0.003083924
2022-02-02 00:00:00,LAKE-1,SO2TONS,TONS,0.00517068
2022-02-03 00:00:00,LAKE-1,SO2TONS,TONS,0.00471132
2022-02-04 00:00:00,LAKE-1,SO2TONS,TONS,0.003100011
2022-02-05 00:00:00,LAKE-1,SO2TONS,TONS,0.00481746
2022-02-06 00:00:00,LAKE-1,SO2TONS,TONS,0.003812036
2022-02-07 00:00:00,LAKE-1,SO2TONS,TONS,0.003783672
2022-02-08 00:00:00,LAKE-1,SO2TONS,TONS,0.003982661
2022-02-09 00:00:00,LAKE-1,SO2TONS,TONS,0.00466854
2022-02-10 00:00:00,LAKE-1,SO2TONS,TONS,0.00449256
2022-02-11 00:00:00,LAKE-1,SO2TONS,TONS,0.00467403
2022-02-12 00:00:00,LAKE-1,SO2TONS,TONS,0.00500178
2022-02-13 00:00:00,LAKE-1,SO2TONS,TONS,0.003653931
2022-02-14 00:00:00,LAKE-1,SO2TONS,TONS,0.003173273
2022-02-15 00:00:00,LAKE-1,SO2TONS,TONS,0.004095797
2022-02-16 00:00:00,LAKE-1,SO2TONS,TONS,0.001997238
2022-02-17 00:00:00,LAKE-1,SO2TONS,TONS,0.002461005
2022-02-18 00:00:00,LAKE-1,SO2TONS,TONS,0.001972989
2022-02-19 00:00:00,LAKE-1,SO2TONS,TONS,0.001826881
2022-02-20 00:00:00,LAKE-1,SO2TONS,TONS,0.001116193
2022-02-21 00:00:00,LAKE-1,SO2TONS,TONS,0.0013884
2022-02-22 00:00:00,LAKE-1,SO2TONS,TONS,0.001626619
2022-02-23 00:00:00,LAKE-1,SO2TONS,TONS,0.001628145
2022-02-24 00:00:00,LAKE-1,SO2TONS,TONS,0.002848228
2022-02-25 00:00:00,LAKE-1,SO2TONS,TONS,0.004477285
2022-02-26 00:00:00,LAKE-1,SO2TONS,TONS,0.003201619
2022-02-27 00:00:00,LAKE-1,SO2TONS,TONS,0.001874503
2022-02-28 00:00:00,LAKE-1,SO2TONS,TONS,6.80439E-05
2022-03-28 00:00:00,LAKE-1,SO2TONS,TONS,2.72592E-05
2022-04-05 00:00:00,LAKE-1,SO2TONS,TONS,0.001011551
2022-04-10 00:00:00,LAKE-1,SO2TONS,TONS,0.001796261
2022-04-11 00:00:00,LAKE-1,SO2TONS,TONS,0.001411437
2022-04-12 00:00:00,LAKE-1,SO2TONS,TONS,0.001171681
2022-04-18 00:00:00,LAKE-1,SO2TONS,TONS,0.0021852
2022-04-19 00:00:00,LAKE-1,SO2TONS,TONS,0.002238345
2022-04-20 00:00:00,LAKE-1,SO2TONS,TONS,0.001885562
2022-04-21 00:00:00,LAKE-1,SO2TONS,TONS,0.001277085
2022-04-22 00:00:00,LAKE-1,SO2TONS,TONS,0.001503375
2022-04-24 00:00:00,LAKE-1,SO2TONS,TONS,0.001359808
2022-04-26 00:00:00,LAKE-1,SO2TONS,TONS,0.000991115
2022-04-27 00:00:00,LAKE-1,SO2TONS,TONS,0.002249453
2022-04-29 00:00:00,LAKE-1,SO2TONS,TONS,0.001892264
2022-04-30 00:00:00,LAKE-1,SO2TONS,TONS,0.003246542
2022-05-01 00:00:00,LAKE-1,SO2TONS,TONS,0.000581179
2022-06-01 00:00:00,LAKE-1,SO2TONS,TONS,0.000792686
2022-06-02 00:00:00,LAKE-1,SO2TONS,TONS,0.001598723
2022-06-03 00:00:00,LAKE-1,SO2TONS,TONS,0.001920576
2022-06-04 00:00:00,LAKE-1,SO2TONS,TONS,0.001819337
2022-06-05 00:00:00,LAKE-1,SO2TONS,TONS,0.001612686
2022-06-06 00:00:00,LAKE-1,SO2TONS,TONS,0.00132522
2022-06-07 00:00:00,LAKE-1,SO2TONS,TONS,0.002850276
2022-06-08 00:00:00,LAKE-1,SO2TONS,TONS,0.002438763
2022-06-09 00:00:00,LAKE-1,SO2TONS,TONS,0.002313053
2022-06-10 00:00:00,LAKE-1,SO2TONS,TONS,0.00286352
2022-06-11 00:00:00,LAKE-1,SO2TONS,TONS,0.002407532
2022-06-12 00:00:00,LAKE-1,SO2TONS,TONS,0.002918714
2022-06-13 00:00:00,LAKE-1,SO2TONS,TONS,0.003451983
2022-06-14 00:00:00,LAKE-1,SO2TONS,TONS,0.000607255
2022-06-15 00:00:00,LAKE-1,SO2TONS,TONS,0.002876451
2022-06-16 00:00:00,LAKE-1,SO2TONS,TONS,0.002185527
2022-06-17 00:00:00,LAKE-1,SO2TONS,TONS,0.001942193
